movieId,title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,avg_rating
1,Toy Story,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.959322693655119
2,Jumanji,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.2683982683982684
3,Grumpier Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.1868613138686133
4,Waiting to Exhale,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
5,Father of the Bride Part II,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.143835616438356
6,Heat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.8365079365079366
7,Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3814285714285712
8,Tom and Huck,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3525641025641026
9,Sudden Death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.017326732673267
10,GoldenEye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.4270025839793283
11,"American President, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.7121380846325165
12,Dracula: Dead and Loving It,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6616915422885574
13,Balto,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2371794871794872
14,Nixon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4126506024096384
15,Cutthroat Island,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.710691823899371
16,Casino,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.849066390041494
17,Sense and Sensibility,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.95
18,Four Rooms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3223443223443225
19,Ace Ventura: When Nature Calls,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.587055606198724
20,Money Train,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.8714285714285714
21,Get Shorty,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6287208366854387
22,Copycat,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,3.3613678373382623
23,Assassins,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1737089201877935
24,Powder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.1568396226415096
25,Leaving Las Vegas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.702925045703839
26,Othello,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6
27,Now and Then,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.3131868131868134
28,Persuasion,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.054545454545455
29,"City of Lost Children, The (Cité des enfants perdus, La)",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,4.004464285714286
30,Shanghai Triad (Yao a yao yao dao waipo qiao),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6339285714285716
31,Dangerous Minds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.3137044967880085
32,Twelve Monkeys (a.k.a. 12 Monkeys),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3.9046280276816607
33,Wings of Courage,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3.0
34,Babe,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.64728453364817
35,Carrington,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.7066666666666666
36,Dead Man Walking,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.925138632162662
37,Across the Sea of Time,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.2777777777777777
